
> my-app@0.1.0 testone /home/ec2-user/environment/cosc6353/project/cosc6353-project/UI
> node scripts/test.js --coverage

---------------------------|----------|----------|----------|----------|-------------------|
File                       |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |
---------------------------|----------|----------|----------|----------|-------------------|
All files                  |    23.22 |     7.84 |    31.33 |     23.3 |                   |
 src                       |        0 |      100 |      100 |        0 |                   |
  index.js                 |        0 |      100 |      100 |        0 |                 8 |
 src/components            |    27.21 |     9.09 |    33.33 |     26.9 |                   |
  App.js                   |      100 |      100 |      100 |      100 |                   |
  Home.js                  |      100 |      100 |      100 |      100 |                   |
  Jumbotron.js             |      100 |      100 |      100 |      100 |                   |
  LogIn.js                 |      100 |      100 |      100 |      100 |                   |
  LogOff.js                |      100 |      100 |      100 |      100 |                   |
  NavigationBar.js         |      100 |      100 |      100 |      100 |                   |
  NewQuote.js              |        0 |        0 |        0 |        0 |... 74,76,79,83,84 |
  Profile.js               |        0 |        0 |        0 |        0 |... 0,73,79,80,160 |
  ProtectedRoute.js        |        0 |        0 |        0 |        0 |     9,13,14,17,18 |
  QuoteHistory.js          |        5 |        0 |        0 |     5.26 |... 08,109,113,114 |
  Register.js              |        0 |        0 |        0 |        0 |... 57,63,65,66,76 |
  Utilities.js             |    33.33 |        0 |       50 |    33.33 |           4,5,6,8 |
 src/services              |    14.29 |        0 |    21.43 |       15 |                   |
  AuthenticationService.js |    18.18 |        0 |    33.33 |    19.35 |... 91,92,93,97,98 |
  Logger.js                |        0 |        0 |        0 |        0 |                   |
  ProfileService.js        |    10.53 |        0 |        0 |    10.53 |... 59,62,63,64,65 |
  QuoteService.js          |     9.09 |        0 |        0 |       10 |... 18,20,25,26,29 |
---------------------------|----------|----------|----------|----------|-------------------|
